keypoints,label
"[[207.55070311611755, 150.02807609256737], [212.9817603779434, 144.9506248109306], [202.28108819457947, 143.9009198527822], [221.3401457376143, 150.60363043866386], [195.5547503770761, 147.7502884339394], [234.46837656215422, 194.17743871216965], [184.6747537164827, 192.40478170636786], [242.14166712612226, 236.5507779646812], [177.11526589185434, 235.42038021365224], [248.14945149570394, 199.94575466782538], [174.7241049943, 200.203818181944], [224.41886715482528, 284.8553935108462], [193.2207373224524, 286.0160914875118], [225.30470122418632, 366.34970643788023], [189.40819821585737, 365.42663191931166], [231.10800312363435, 427.0969002261727], [185.1705444082153, 423.3902497004075]]",ohp
"[[207.51771609649342, 150.38840240351624], [212.75730886479178, 145.16883084778974], [202.21982899425927, 144.11860642462906], [221.51987071840284, 150.8859705776286], [195.4238132230953, 148.13578897107416], [234.3455670777081, 194.44838829199145], [185.66597623289746, 192.9911516312502], [241.99022919621143, 236.69454263302492], [177.99155578296052, 236.12542137534604], [247.1079538864802, 201.15008671417556], [174.60205698707247, 201.44088017965305], [223.90324459750045, 285.4490547814637], [192.75146710401762, 286.54729601251364], [224.87912108645372, 366.3274263207977], [189.20869192809425, 364.91791553903766], [230.72451861137662, 427.33143719219123], [184.90062483630905, 423.9860611992913]]",ohp
"[[207.5215293067409, 150.343425060756], [212.45914586120733, 145.04810380836534], [202.08937016445486, 143.9489515308531], [221.46691106213353, 150.9546569380096], [195.3734796409052, 148.05746871567567], [235.02933409010797, 194.29287196692707], [185.17937233938747, 192.9054706359356], [242.10804366272356, 237.39954191037376], [178.31357948001855, 236.82881739927677], [246.2594603302573, 201.8921548760111], [174.15903759597495, 202.0056329497181], [224.75641135614282, 285.97274292531483], [193.3955055760247, 286.68143793847605], [225.09348119866576, 366.43739586808334], [189.39393374627446, 365.20334440060816], [231.33896517406632, 427.2013310335282], [185.21303545660388, 423.5202319408901]]",ohp
"[[207.72805332889678, 150.42175324691806], [213.01535211828792, 145.18022239827812], [202.38733886433243, 144.0572054619105], [221.6503268220073, 151.51984181076972], [195.46690031793165, 148.6172200240613], [234.74329078023996, 194.50403251172105], [185.72491370218955, 193.07042655231058], [241.95968881714123, 236.97862704429707], [178.56222874409445, 237.98853443962622], [246.42423185637986, 201.12340998005223], [174.0795658928441, 202.52130854402412], [225.2059731314931, 288.34978904644817], [193.98911430533366, 288.3236442930733], [225.6402885095989, 365.7295064625026], [189.59777122227914, 364.8887651501971], [231.07675541959037, 427.86068133157903], [192.8396794999216, 425.51584352822414]]",ohp
"[[207.70449152607432, 150.54555345721653], [212.9020829706331, 145.20130831585607], [202.31520633935435, 144.04819314048592], [221.62165612044305, 151.2570430731823], [195.37926909829378, 148.1608819069337], [235.29289517234122, 194.1796518908717], [185.27123239084986, 193.02649012226573], [242.16971328005724, 238.00003057705885], [178.39455654120496, 237.0205009801472], [247.1003373794397, 201.84359282812807], [173.6567689574434, 201.15358219820845], [224.74770288209658, 286.23111431415265], [193.25687582924064, 286.66572709589144], [225.4997434834185, 366.32533086436706], [189.57470955323282, 365.4952206941256], [231.2229802355697, 427.74402971327186], [186.43303472633917, 424.41375042445446]]",ohp
"[[207.67040312166276, 150.57841160193303], [212.76321530094268, 145.31323319908984], [202.17270737130528, 144.24151343268318], [221.67615831022204, 151.4775678670332], [195.4880340679272, 148.4740231488202], [234.94574136396952, 194.64780932404645], [184.99304202391056, 193.82576337723128], [242.54388670415742, 237.91999033731634], [178.27295414375416, 237.4526884352591], [248.1351721559394, 201.84747617606564], [173.67257943024507, 200.5818151015006], [225.02560278482102, 288.1945284885081], [193.0835658448154, 288.2551105998906], [225.25628044302897, 366.6011487867629], [189.67554227230207, 366.2215324114861], [230.8068720317928, 427.62918680472586], [185.28368468096252, 423.9453892697911]]",ohp
"[[207.56158808908444, 150.6199053568057], [212.5042659577114, 145.37806619973293], [202.01759105412728, 144.31505837708156], [221.71789990145552, 151.40016956289693], [196.39537587235228, 149.69226674577553], [235.09401690191638, 194.8820127023233], [185.08558412103793, 193.78181752940475], [242.56489232275442, 237.55029184654697], [178.1530390162478, 238.26123275280992], [247.77223464109298, 202.10941616066282], [174.085550645285, 201.26552170378753], [225.37213254123617, 286.24827549512077], [193.71286350575406, 286.74038333853173], [225.45991469321777, 366.13402967951157], [189.71289220322197, 364.70841122268394], [231.26336380746412, 427.7530137813513], [185.51024974259914, 424.00824156223865]]",ohp
"[[207.84603434144336, 150.53476464475764], [212.8825148029288, 145.1762401636326], [202.45395083437344, 144.04295586250925], [221.65989429688008, 151.26718651975764], [196.28211564680643, 149.71332490568102], [234.70281402187388, 194.74237327020532], [184.26168287122573, 193.8031359174891], [242.1805248934613, 237.2009699656909], [178.28013445879964, 236.24706714415998], [248.0755010910193, 200.59084842705678], [174.69909632280314, 200.8687174741543], [225.03131789130134, 285.7437926865417], [192.9102915488261, 286.79379603966856], [225.19182762336337, 365.43902466673865], [189.7167574591052, 365.2335187873325], [230.80224529869096, 426.7413412954604], [185.40286522149546, 423.5265666382724]]",ohp
"[[206.9179263283458, 149.97506488633505], [213.09815226374448, 145.35908589987648], [202.43154023144697, 144.0772821898272], [221.88042801283999, 151.85829606720415], [195.5322565011324, 148.18754612532078], [235.23969957585643, 194.76323762207667], [184.37755529201453, 193.8407133621882], [242.26237334729234, 237.79378908835432], [177.85999928591406, 238.20394091695363], [247.91523423859087, 201.08387822172995], [174.0738101412006, 200.8620313448123], [225.26872628939623, 285.90303250509095], [193.2276380780829, 286.6663169464302], [225.32013449004685, 365.8522143417857], [189.73640493444495, 365.4576245997403], [230.94946777994073, 426.22889005220856], [185.35687571503766, 423.3759445856614]]",ohp
"[[207.02517850483284, 150.0166597584429], [213.29171147019355, 145.2965984225521], [202.51394036901718, 144.05761191354225], [222.22338198624135, 151.6090172987718], [195.5567955227255, 148.187917879862], [235.58073182611605, 194.612399456159], [185.24741630792124, 193.52211178960027], [242.4722481170464, 238.08491056525534], [177.89488473206202, 237.0893816442351], [248.5166676574834, 202.85215595903617], [173.8760327598905, 200.54076261926838], [225.28047571558963, 285.63209482141446], [193.37533120058183, 286.329683791575], [225.25810550998997, 365.47497791584715], [189.93515383428942, 365.4288810962451], [230.98796903467476, 427.1801920789691], [185.09400163519655, 423.9982864712975]]",ohp
